brand,model,price,productionYear,mileage,imageUrl,insuranceHistory,inspectionHistory,region,contactNumber,isFraud
Toyota,Corolla,20791,2019,37835,https://example.com/cars/5dfdd22a-0c4e-4d47-b784-85c7dbe94ea3.jpg,2,2,Gwangju,010-5700-7171,1
Mercedes,E-Class,65400,2023,2501,https://example.com/cars/a3735043-f907-4e0a-8b26-197ff9e4597f.jpg,5,1,Daegu,010-5841-7676,1
BMW,X3,27261,2022,18049,,5,5,Daejeon,010-7120-2556,1
Tesla,Model Y,38120,2023,12848,https://example.com/cars/5f87b0c9-db0c-4344-8196-027b100301fe.jpg,1,0,Seoul,010-5399-8913,0
Hyundai,Tucson,13683,2021,20584,https://example.com/cars/fa779d5f-1814-4a34-a1e1-169f52808a18.jpg,3,4,Daejeon,010-5725-1988,0
Mercedes,E-Class,58604,2024,1927,,3,1,Seoul,010-2844-9752,0
BMW,X3,49282,2023,2064,https://example.com/cars/ab4b94d3-d6c4-4259-acbb-329acc9edf30.jpg,3,2,Ulsan,010-8552-5851,1
Tesla,Model 3,26479,2021,25170,https://example.com/cars/7249b553-322e-4e6f-bef6-0378bc2d29dc.jpg,0,4,Busan,010-9411-9593,0
Toyota,Corolla,17109,2020,15163,https://example.com/cars/6058b158-303f-4eb8-a7ce-2005accd5c5e.jpg,1,4,Gyeonggi,010-4481-2121,0
Hyundai,Elantra,9345,2018,5190,,1,5,Ulsan,010-9289-3324,1
Mercedes,E-Class,65422,2023,8560,https://example.com/cars/063dce7f-9a0b-4e90-90b0-963b48058a18.jpg,2,4,Daegu,010-2831-9524,0
Hyundai,Elantra,12494,2019,20553,,2,0,Daegu,010-5817-2825,0
Hyundai,Tucson,12786,2018,30855,https://example.com/cars/a1489416-748d-4713-9c48-f48f74d0b52e.jpg,2,3,Daejeon,010-6483-1954,0
Ford,F-150,37453,2022,13840,https://example.com/cars/b8ef37e8-aacc-46ed-bc3f-40074430d066.jpg,0,2,Busan,010-2183-9919,0
Hyundai,Tucson,10368,2020,17214,https://example.com/cars/cf260777-601b-4d12-b953-edf479b10ad1.jpg,0,2,Sejong,010-5087-7665,0
Ford,Explorer,10155,2020,40255,,8,1,Incheon,010-6826-8622,1
Ford,F-150,23206,2023,9213,https://example.com/cars/90dc15d2-2abf-4902-85b5-3e1c7a451423.jpg,1,2,Ulsan,010-9536-7683,0
Mercedes,E-Class,23525,2019,24387,https://example.com/cars/92776f57-5534-4ef2-89ea-22fa3e6698bb.jpg,1,5,Gwangju,010-9744-3526,0
Ford,F-150,17184,2018,61784,https://example.com/cars/d208dac8-7305-4259-a40a-f92a9ff722a8.jpg,6,5,Seoul,010-9674-1447,1
Ford,Explorer,12249,2018,68952,https://example.com/cars/9a5f67f4-a718-481d-9e8f-431db1da46f9.jpg,1,3,Sejong,010-2458-1299,0
Toyota,Camry,12491,2021,30627,https://example.com/cars/a44e70d2-93ab-4d41-909b-3ec6e20785d3.jpg,2,0,Daejeon,010-4164-8954,0
Mercedes,E-Class,12281,2022,14046,,1,1,Busan,010-9376-9897,1
Mercedes,E-Class,23987,2018,61749,https://example.com/cars/95130ddc-d10e-486f-a62a-dbfa65e6c745.jpg,0,3,Incheon,010-9026-8466,0
Toyota,RAV4,31271,2023,9948,,5,4,Incheon,010-9395-2117,1
Honda,Civic,13109,2018,50126,https://example.com/cars/83458051-5fc2-4711-8f15-0a5058b00d73.jpg,3,2,Sejong,010-7824-4797,0
Hyundai,Tucson,20125,2021,15366,,1,5,Gyeonggi,010-4782-8410,0
Toyota,Corolla,15168,2019,63958,https://example.com/cars/d05c7116-89ea-4a16-9581-26f995e24ab9.jpg,2,2,Incheon,010-3656-8676,0
Ford,F-150,21798,2018,7074,,2,3,Seoul,010-2494-6275,1
Toyota,Corolla,14470,2018,32495,https://example.com/cars/f3145b95-3b50-44b5-8026-81e9996165a4.jpg,1,0,Sejong,010-2733-2508,0
Ford,F-150,14488,2018,31127,https://example.com/cars/c03566a1-40d1-4fa5-b6cb-ab9dd23a392a.jpg,1,5,Daejeon,010-8280-6149,0
Honda,CR-V,14179,2020,28804,https://example.com/cars/9725980c-3532-4094-bc7d-8060156cb0d6.jpg,0,1,Ulsan,010-4324-2969,0
Hyundai,Tucson,5427,2022,17325,https://example.com/cars/12c9d846-5278-49a9-acfd-a9b193db14d2.jpg,2,1,Gwangju,010-3805-3311,1
Honda,CR-V,12410,2018,49835,https://example.com/cars/b4396c09-86c9-456a-a70d-86899c0d1772.jpg,2,1,Busan,010-2582-2010,0
Toyota,Corolla,4636,2020,32571,,1,3,Ulsan,010-2215-6846,1
Hyundai,Elantra,27964,2024,0,https://example.com/cars/a87c7fca-82c1-48b7-bde6-6b05f96aa3c9.jpg,0,0,Sejong,010-8758-7706,0
Ford,Explorer,33226,2023,8456,https://example.com/cars/72cad5a7-3136-459b-93b1-930cacbf039f.jpg,2,0,Incheon,010-8894-3374,0
Ford,F-150,12376,2019,26017,https://example.com/cars/843cb96d-ad69-4aeb-a8cb-6b0d834d651c.jpg,0,4,Ulsan,010-6262-1390,0
Hyundai,Tucson,16090,2023,17116,https://example.com/cars/0c0287c4-5af1-4cf1-9ca2-4bbe1258864d.jpg,5,1,Gyeonggi,010-3678-4697,1
Ford,F-150,29472,2022,3147,,3,2,Gwangju,010-5951-2474,1
Honda,CR-V,13597,2021,27459,https://example.com/cars/198df3c3-08e7-43aa-a767-adcb95e5b0c4.jpg,4,5,Daegu,010-5273-9064,1
Hyundai,Elantra,8959,2018,38791,https://example.com/cars/211cb6ff-e140-43ce-8d78-0161f539d880.jpg,2,3,Busan,010-4948-5559,0
Toyota,Camry,12002,2018,44595,https://example.com/cars/7dc68035-6aeb-4211-9d12-57eb16c23afb.jpg,0,4,Ulsan,010-3224-1464,0
