brand,model,price,productionYear,mileage,imageUrl,insuranceHistory,inspectionHistory,region,contactNumber,isFraud
kia,sorento,40918420,2018,22142,https://example.com/cars/5fe80f03-e85a-4096-9416-b2438a536446.jpg,1,0,Daegu,010-3433-7599,0
benz,s-class,115572138,2023,9447,https://example.com/cars/b181fb97-307e-48f7-895c-22e49de6ee0a.jpg,0,3,Sejong,010-7345-3264,0
genesis,g90,105509788,2018,49068,https://example.com/cars/d26b85c4-b45e-4229-aa99-9c8f439d15e9.jpg,6,0,Ulsan,010-9296-1493,1
bmw,7series,59289966,2018,53785,https://example.com/cars/78019794-0f8f-4956-a33a-3c2ddfcbdbd7.jpg,3,4,Gwangju,010-8585-6032,0
benz,s-class,135548189,2020,12980,https://example.com/cars/7583d84f-5d03-4aa0-af18-eec0e08b53fd.jpg,0,4,Ulsan,010-9563-3519,0
bmw,7series,50101293,2024,0,https://example.com/cars/4b05e47f-2656-4c95-b424-b300c5dcafa7.jpg,1,4,Busan,010-8013-8389,0
audi,a8,131845034,2022,9874,,1,3,Daejeon,010-6931-3268,1
audi,a8,58706305,2022,16451,https://example.com/cars/936a2eb0-e5c4-47c1-8a54-c455d3a70600.jpg,2,0,Seoul,010-1442-9761,0
benz,s-class,158105894,2023,39,,2,5,Ulsan,010-3262-6863,1
hyundai,santafe,39486876,2023,11002,https://example.com/cars/a43981b8-e3c4-4b39-9054-aaa732a079f5.jpg,1,4,Seoul,010-9842-4214,0
hyundai,grandeur,23575909,2019,34211,https://example.com/cars/255ba048-a511-46f6-b265-5295135ecba2.jpg,6,2,Busan,010-5787-1419,1
benz,s-class,269345698,2020,7911,https://example.com/cars/7449fe16-5892-44bf-86da-f94c24fb24d6.jpg,1,5,Gyeonggi,010-8130-8738,1
genesis,g90,66816367,2022,2646,,3,2,Daegu,010-3282-3302,0
hyundai,santafe,27669814,2024,811,https://example.com/cars/2a6696f8-8fda-4cba-a628-f604b7aca390.jpg,0,1,Gwangju,010-8012-4238,0
kia,carnival,39176006,2020,28192,https://example.com/cars/6cb7ed7d-acbe-4059-9768-bee461581376.jpg,8,0,Ulsan,010-8929-3548,1
hyundai,sonata,18596809,2022,25709,https://example.com/cars/55f16c8b-e7e3-4565-a986-f5db38d754ca.jpg,0,0,Gwangju,010-5279-2830,0
genesis,g90,104350084,2022,10450,,5,3,Sejong,010-5432-4367,1
hyundai,santafe,44446076,2020,44037,https://example.com/cars/122c3a3e-d2b2-43bc-a0ec-ab0906904575.jpg,0,2,Ulsan,010-5901-3945,0
bmw,x6,44804856,2020,11623,https://example.com/cars/b3579777-61bb-4c01-98b7-40f8ae5fb5ba.jpg,3,1,Gwangju,010-3786-2107,1
kia,k5,18986237,2020,41672,https://example.com/cars/50002cbd-5eac-4a43-b949-29e85154ebae.jpg,2,0,Ulsan,010-4754-6286,0
benz,amg gt,79983056,2021,28072,https://example.com/cars/5d63b77e-3405-427f-8097-7a93034e5ab3.jpg,3,0,Gyeonggi,010-1423-3045,0
benz,s-class,70181554,2024,707,,3,4,Incheon,010-3664-9873,1
